source,word,n,tf,idf,tf_idf
Independent,osman,7,0.0018008747105737071,0.6931471805599453,0.0012482712281758725
Independent,policy,7,0.0018008747105737071,0.6931471805599453,0.0012482712281758725
Independent,proponent,7,0.0018008747105737071,0.6931471805599453,0.0012482712281758725
Independent,refer,7,0.0018008747105737071,0.6931471805599453,0.0012482712281758725
official,card,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,decrease,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,dry,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,employ,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,history,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,mitigation,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,negative,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,rainfall,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,sick,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,socialcomms,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
official,trend,6,0.0016778523489932886,0.6931471805599453,0.0011629986251005793
Independent,court,6,0.0015436068947774634,0.6931471805599453,0.0010699467670078908
Independent,initiative,6,0.0015436068947774634,0.6931471805599453,0.0010699467670078908
Independent,north,6,0.0015436068947774634,0.6931471805599453,0.0010699467670078908
Independent,organization,6,0.0015436068947774634,0.6931471805599453,0.0010699467670078908
Independent,police,6,0.0015436068947774634,0.6931471805599453,0.0010699467670078908
Independent,price,6,0.0015436068947774634,0.6931471805599453,0.0010699467670078908
Independent,promote,6,0.0015436068947774634,0.6931471805599453,0.0010699467670078908
Independent,town,6,0.0015436068947774634,0.6931471805599453,0.0010699467670078908
Independent,validation,6,0.0015436068947774634,0.6931471805599453,0.0010699467670078908
official,anticipate,5,0.0013982102908277406,0.6931471805599453,9.691655209171495e-4
official,availability,5,0.0013982102908277406,0.6931471805599453,9.691655209171495e-4
official,bank,5,0.0013982102908277406,0.6931471805599453,9.691655209171495e-4
official,food,5,0.0013982102908277406,0.6931471805599453,9.691655209171495e-4
official,importance,5,0.0013982102908277406,0.6931471805599453,9.691655209171495e-4
official,improvement,5,0.0013982102908277406,0.6931471805599453,9.691655209171495e-4
official,personnel,5,0.0013982102908277406,0.6931471805599453,9.691655209171495e-4
official,realize,5,0.0013982102908277406,0.6931471805599453,9.691655209171495e-4
official,wet,5,0.0013982102908277406,0.6931471805599453,9.691655209171495e-4
Independent,arm,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,bill,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,call,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,challenge,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,confer,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,contract,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,define,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,deny,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,explain,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,file,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,gross,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,half,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,investment,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,kenyas,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,kill,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,lakole,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,million,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,mohamed,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,money,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,national,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,operation,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,photo,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,plain,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
Independent,pose,5,0.0012863390789812194,0.6931471805599453,8.91622305839909e-4
